filename,test_type,rw_mode,bs,numjobs,read_iops_K,write_iops_K,read_bw_MiB,write_bw_MiB,read_lat_mean_us,read_lat_p99_us,write_lat_mean_us,write_lat_p99_us,cpu_usr,cpu_sys,cpu_total
test_numjobs-bw=10_write.json,numjobs-bw,write,64k,10,0.0,91.14,0.0,5696.43,0.0,0.0,6914.83,30539.78,16.74,20.46,37.21
test_numjobs-bw=11_read.json,numjobs-bw,read,64k,11,134.62,0.0,8413.91,0.0,5150.03,30015.49,0.0,0.0,4.39,26.81,31.2
test_numjobs-bw=11_write.json,numjobs-bw,write,64k,11,0.0,90.86,0.0,5678.62,0.0,0.0,7630.09,31064.06,15.22,18.29,33.52
test_numjobs-bw=12_read.json,numjobs-bw,read,64k,12,137.42,0.0,8588.63,0.0,5505.08,29753.34,0.0,0.0,4.01,24.59,28.59
test_numjobs-bw=12_write.json,numjobs-bw,write,64k,12,0.0,90.71,0.0,5669.45,0.0,0.0,8336.33,34340.86,14.08,17.21,31.28
test_numjobs-bw=13_read.json,numjobs-bw,read,64k,13,135.76,0.0,8485.24,0.0,6034.49,33423.36,0.0,0.0,3.57,22.75,26.32
test_numjobs-bw=13_write.json,numjobs-bw,write,64k,13,0.0,91.09,0.0,5693.42,0.0,0.0,8991.87,34340.86,12.94,16.02,28.95
test_numjobs-bw=14_read.json,numjobs-bw,read,64k,14,134.18,0.0,8386.3,0.0,6577.59,33816.58,0.0,0.0,3.5,21.19,24.69
test_numjobs-bw=14_write.json,numjobs-bw,write,64k,14,0.0,90.38,0.0,5648.83,0.0,0.0,9760.55,34865.15,12.02,14.39,26.4
test_numjobs-bw=15_read.json,numjobs-bw,read,64k,15,134.96,0.0,8434.89,0.0,7006.58,33816.58,0.0,0.0,3.16,20.2,23.36
test_numjobs-bw=15_write.json,numjobs-bw,write,64k,15,0.0,89.86,0.0,5616.15,0.0,0.0,10516.75,36962.3,11.13,13.34,24.47
test_numjobs-bw=16_read.json,numjobs-bw,read,64k,16,134.21,0.0,8388.17,0.0,7513.9,38010.88,0.0,0.0,3.05,18.68,21.73
test_numjobs-bw=16_write.json,numjobs-bw,write,64k,16,0.0,89.5,0.0,5593.45,0.0,0.0,11261.78,40108.03,10.57,12.51,23.08
test_numjobs-bw=17_read.json,numjobs-bw,read,64k,17,135.76,0.0,8484.75,0.0,7891.99,41680.9,0.0,0.0,2.64,17.65,20.29
test_numjobs-bw=17_write.json,numjobs-bw,write,64k,17,0.0,90.19,0.0,5636.93,0.0,0.0,11876.71,42205.18,9.88,11.9,21.78
test_numjobs-bw=18_read.json,numjobs-bw,read,64k,18,134.11,0.0,8382.09,0.0,8458.9,42205.18,0.0,0.0,2.64,16.72,19.35
test_numjobs-bw=18_write.json,numjobs-bw,write,64k,18,0.0,89.57,0.0,5597.88,0.0,0.0,12659.86,42729.47,9.37,11.12,20.5
test_numjobs-bw=19_read.json,numjobs-bw,read,64k,19,135.02,0.0,8438.58,0.0,8862.71,45350.91,0.0,0.0,2.6,15.52,18.12
