filename,test_type,rw_mode,bs,numjobs,read_iops_K,write_iops_K,read_bw_MiB,write_bw_MiB,read_lat_mean_us,read_lat_p99_us,write_lat_mean_us,write_lat_p99_us,cpu_usr,cpu_sys,cpu_total
test_nbcpu-bw=29_read.json,nbcpu-bw,read,64k,29,172.86,0.0,10803.84,0.0,10200.41,16449.54,0.0,0.0,3.07,41.5,44.57
test_nbcpu-bw=29_write.json,nbcpu-bw,write,64k,29,0.0,153.0,0.0,9562.62,0.0,0.0,11524.21,17432.58,5.93,37.18,43.11
test_nbcpu-bw=30_read.json,nbcpu-bw,read,64k,30,169.97,0.0,10623.34,0.0,10743.15,16711.68,0.0,0.0,3.3,41.43,44.72
test_nbcpu-bw=30_write.json,nbcpu-bw,write,64k,30,0.0,152.36,0.0,9522.38,0.0,0.0,11987.36,19005.44,5.85,37.32,43.17
test_nbcpu-bw=31_read.json,nbcpu-bw,read,64k,31,175.76,0.0,10985.1,0.0,10747.43,19005.44,0.0,0.0,3.34,42.21,45.55
test_nbcpu-bw=31_write.json,nbcpu-bw,write,64k,31,0.0,151.45,0.0,9465.36,0.0,0.0,12475.55,20316.16,5.88,37.52,43.4
test_nbcpu-bw=32_read.json,nbcpu-bw,read,64k,32,176.21,0.0,11013.36,0.0,11078.75,20578.3,0.0,0.0,3.39,42.64,46.03
test_nbcpu-bw=32_write.json,nbcpu-bw,write,64k,32,0.0,153.48,0.0,9592.52,0.0,0.0,12718.14,21364.74,5.84,37.96,43.8
test_nbcpu-bw=33_read.json,nbcpu-bw,read,64k,33,175.25,0.0,10952.92,0.0,11496.96,20578.3,0.0,0.0,3.36,41.67,45.02
test_nbcpu-bw=33_write.json,nbcpu-bw,write,64k,33,0.0,156.21,0.0,9763.03,0.0,0.0,12900.67,22937.6,5.81,38.55,44.36
test_nbcpu-bw=34_read.json,nbcpu-bw,read,64k,34,175.3,0.0,10956.02,0.0,11855.64,22937.6,0.0,0.0,3.52,42.66,46.18
test_nbcpu-bw=34_write.json,nbcpu-bw,write,64k,34,0.0,154.68,0.0,9667.44,0.0,0.0,13435.22,24248.32,5.9,38.58,44.48
test_nbcpu-bw=35_read.json,nbcpu-bw,read,64k,35,175.59,0.0,10974.41,0.0,12192.5,23199.74,0.0,0.0,3.44,42.18,45.62
test_nbcpu-bw=35_write.json,nbcpu-bw,write,64k,35,0.0,154.4,0.0,9650.1,0.0,0.0,13866.7,25821.18,5.92,38.87,44.79
test_nbcpu-bw=36_read.json,nbcpu-bw,read,64k,36,176.35,0.0,11021.8,0.0,12497.56,24510.46,0.0,0.0,3.54,42.42,45.96
test_nbcpu-bw=36_write.json,nbcpu-bw,write,64k,36,0.0,154.35,0.0,9646.75,0.0,0.0,14280.37,25821.18,5.69,38.11,43.8
test_nbcpu-bw=37_read.json,nbcpu-bw,read,64k,37,176.48,0.0,11029.94,0.0,12843.37,26083.33,0.0,0.0,3.42,42.46,45.87
test_nbcpu-bw=37_write.json,nbcpu-bw,write,64k,37,0.0,155.48,0.0,9717.36,0.0,0.0,14580.44,28966.91,5.73,39.19,44.92
test_nbcpu-bw=38_read.json,nbcpu-bw,read,64k,38,176.82,0.0,11051.2,0.0,13174.57,26607.62,0.0,0.0,3.42,41.77,45.2
test_nbcpu-bw=38_write.json,nbcpu-bw,write,64k,38,0.0,156.14,0.0,9758.58,0.0,0.0,14921.15,28704.77,5.7,38.27,43.97
test_nbcpu-bw=39_read.json,nbcpu-bw,read,64k,39,176.25,0.0,11015.41,0.0,13575.59,28442.62,0.0,0.0,3.4,42.33,45.73
test_nbcpu-bw=39_write.json,nbcpu-bw,write,64k,39,0.0,156.09,0.0,9755.92,0.0,0.0,15329.51,30277.63,5.55,38.59,44.14
test_nbcpu-bw=40_read.json,nbcpu-bw,read,64k,40,163.89,0.0,10243.2,0.0,14982.36,49020.93,0.0,0.0,2.68,35.88,38.56
test_nbcpu-bw=40_write.json,nbcpu-bw,write,64k,40,0.0,144.66,0.0,9040.99,0.0,0.0,16977.09,50593.79,4.44,33.32,37.76
